9749 東証1部 富士ソフト(株)（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","4100","4175","4080","4125","126600","4125"
"2019-01-07","4255","4310","4190","4265","111200","4265"
"2019-01-08","4315","4425","4300","4385","131300","4385"
"2019-01-09","4435","4475","4360","4405","124300","4405"
"2019-01-10","4370","4450","4280","4300","171900","4300"
"2019-01-11","4385","4415","4325","4345","102300","4345"
"2019-01-15","4210","4330","4210","4290","112000","4290"
"2019-01-16","4300","4320","4250","4255","104700","4255"
"2019-01-17","4260","4460","4260","4455","115000","4455"
"2019-01-18","4495","4525","4335","4360","119500","4360"
"2019-01-21","4400","4475","4390","4410","103300","4410"
"2019-01-22","4375","4405","4260","4290","87300","4290"
"2019-01-23","4220","4255","4160","4200","121000","4200"
"2019-01-24","4270","4370","4235","4360","94400","4360"
"2019-01-25","4400","4490","4400","4440","86600","4440"
"2019-01-28","4370","4410","4300","4330","80000","4330"
"2019-01-29","4345","4365","4275","4345","83900","4345"
"2019-01-30","4345","4365","4310","4330","122600","4330"
"2019-01-31","4370","4460","4350","4415","99200","4415"
"2019-02-01","4405","4420","4320","4335","95300","4335"
"2019-02-04","4400","4630","4345","4575","151200","4575"
"2019-02-05","4630","4630","4515","4565","111300","4565"
"2019-02-06","4575","4630","4530","4545","162500","4545"
"2019-02-07","4545","4545","4415","4485","69200","4485"
"2019-02-08","4345","4395","4060","4220","331500","4220"
"2019-02-12","4290","4400","4275","4370","164900","4370"
"2019-02-13","4510","4600","4435","4540","178800","4540"
"2019-02-14","4500","4610","4470","4495","206000","4495"
"2019-02-15","4500","4815","4475","4790","588600","4790"
"2019-02-18","4700","4740","4570","4645","255700","4645"
"2019-02-19","4580","4670","4580","4645","155700","4645"
"2019-02-20","4590","4610","4420","4515","285500","4515"
"2019-02-21","4425","4440","4275","4315","376700","4315"
"2019-02-22","4285","4355","4250","4285","235800","4285"
"2019-02-25","4375","4490","4345","4465","282500","4465"
"2019-02-26","4470","4535","4445","4490","155700","4490"
"2019-02-27","4485","4575","4465","4555","236400","4555"
"2019-02-28","4575","4670","4555","4630","337500","4630"
"2019-03-01","4600","4645","4525","4555","256600","4555"
"2019-03-04","4595","4595","4495","4530","165700","4530"
"2019-03-05","4450","4525","4425","4475","195500","4475"
"2019-03-06","4530","4535","4410","4410","164300","4410"
"2019-03-07","4340","4360","4305","4320","137100","4320"
"2019-03-08","4250","4265","4200","4205","153000","4205"
"2019-03-11","4220","4235","4130","4195","119900","4195"
"2019-03-12","4280","4315","4235","4245","105000","4245"
"2019-03-13","4260","4300","4190","4215","207300","4215"
"2019-03-14","4250","4260","4145","4160","165200","4160"
"2019-03-15","4115","4200","4060","4160","226500","4160"
"2019-03-18","4160","4185","4120","4170","222500","4170"
"2019-03-19","4140","4150","4075","4100","161000","4100"
"2019-03-20","4130","4190","4120","4165","113400","4165"
"2019-03-22","4130","4195","4115","4170","196100","4170"
"2019-03-25","4100","4160","4040","4130","339400","4130"
"2019-03-26","4140","4210","4095","4200","317400","4200"
"2019-03-27","4185","4240","4145","4200","192100","4200"
"2019-03-28","4195","4320","4185","4300","240700","4300"
"2019-03-29","4320","4420","4310","4380","260600","4380"
"2019-04-01","4450","4515","4415","4435","254400","4435"
"2019-04-02","4440","4455","4315","4330","232600","4330"
"2019-04-03","4310","4360","4265","4340","233200","4340"
